number,cost
SAM-313-1866-KIT,260
MOT4252-KIT,0
SAM1866-KIT,0
SAM-300-1670-KIT,0
SAM-313-1967-KIT,260
APL1003-KIT,0
SAM1923-KIT,250
SAM1940-KIT,0
SAM1913-KIT,260
SAM-313-1921-KIT,260
MOT3745-KIT,260
SAM1921-KIT,260
SAM1922-KIT,260
APL-313-1009-KIT,0
SAM1941-KIT,0
SAM-313-1670-KIT,0
APL-300-9152-KIT,0
SAM-313-1939-KIT,260
SAM1923-KIT,0
SAM1914-KIT,260
SAM-313-1671-KIT,300
MOT4322-KIT,0
SAM1937BKE-KIT,0
APL-313-9227-KIT,300
SAM-300-1669-KIT,300
APL-300-9226-KIT,0
APL-313-9152-KIT,0
SAM-313-1968-KIT,260
APL-313-9153-KIT,260
SAM-300-1967-KIT,0
SAM-313-1941-KIT,260
SAM-300-1671-KIT,300
APL1014-KIT,260
APL1037-KIT,260
APL-313-1037-KIT,260
APL-313-9226-KIT,305.2
APL1003-KIT,208
SAM1921BKE-KIT,0
APL-300-9102-KIT,200
SAM-300-3771-KIT,260
SAM-313-1913-KIT,260
APL-313-1009-KIT,208
APL-300-9153-KIT,300
SAM-313-1669-KIT,0
APL-313-9102-KIT,0
SAM-313-1865-KIT,260
APL-313-1032-KIT,0
APL-300-9102-KIT,0
SAM-300-1968-KIT,0
APL-313-9226-KIT,300
SAM1865-KIT,0
APL-313-9103-KIT,260
SAM1937BKE-KIT,50
SAM-313-1942-KIT,260
APL-300-9226-KIT,200
APL1025-KIT,260
APL-313-1025-KIT,260
APL1044-KIT,0
APL-313-1003-KIT,208
SAM1937-KIT,0
APL-300-9153-KIT,260
SAM-313-1940-KIT,260
APL-313-1020-KIT,208
APL1032-KIT,260
APL-313-9227-KIT,305.2
SAM1939-KIT,260
SAM1921BKE-KIT,50
APL1088-KIT,260
APL1009-KIT,260
APL1020-KIT,260
APL-313-1003-KIT,0
SAM-313-1926-KIT,260
APL-313-1020-KIT,0
SAM-313-1669-KIT,208
SAM1926-KIT,260
APL1087-KIT,260
SAM1942-KIT,260
APL-313-1032-KIT,208
APL1076-KIT,0
APL-300-9227-KIT,0
APL-300-9227-KIT,300
APL1088-KIT,0
APL1009-KIT,0
SAM1939-KIT,0
APL-300-9103-KIT,200
SAM-313-1926-KIT,0
APL-313-1044-KIT,0
APL1032-KIT,208
APL1020-KIT,0
APL1087-KIT,0
SAM1942-KIT,0
SAM1926-KIT,0
APL1076-KIT,260
APL-300-9226-KIT,305.2
APL-313-9102-KIT,260
SAM1865-KIT,260
APL-313-9103-KIT,0
SAM-300-1968-KIT,260
SAM-313-1865-KIT,0
APL-313-1032-KIT,260
APL-313-1025-KIT,0
APL1025-KIT,0
SAM-300-1968-KIT,300
APL-313-9226-KIT,0
APL-300-9102-KIT,300
SAM-313-1942-KIT,0
APL1032-KIT,0
APL-313-1044-KIT,208
SAM-313-1940-KIT,0
APL1044-KIT,260
SAM-313-1669-KIT,300
SAM1922BKE-KIT,50
APL1020-KIT,208
SAM1937-KIT,260
APL-300-9153-KIT,0
SAM-313-1968-KIT,0
APL-313-9152-KIT,260
SAM-300-1967-KIT,260
APL-313-9153-KIT,0
SAM-313-1922-KIT,208
APL-300-9226-KIT,260
APL1014-KIT,0
APL-313-1014-KIT,208
SAM-313-1941-KIT,0
APL1037-KIT,0
APL-313-1037-KIT,0
SAM-300-1671-KIT,0
SAM-313-1671-KIT,208
SAM-300-3771-KIT,0
APL-313-9103-KIT,200
SAM-313-1913-KIT,0
APL-300-9226-KIT,300
SAM1940-KIT,260
APL-313-9227-KIT,0
SAM-300-1669-KIT,0
SAM-313-1967-KIT,0
APL1003-KIT,260
SAM1913-KIT,0
MOT4252-KIT,260
SAM-313-1671-KIT,0
SAM1866-KIT,260
SAM-313-1866-KIT,0
APL-313-1037-KIT,208
SAM-300-1670-KIT,260
APL-300-9152-KIT,300
SAM1941-KIT,260
APL-313-1009-KIT,260
SAM1922-KIT,0
MOT3745-KIT,0
SAM-313-1921-KIT,0
SAM1921-KIT,0
SAM1922BKE-KIT,0
SAM-313-1922-KIT,0
SAM-313-1939-KIT,0
APL-300-9152-KIT,260
SAM-313-1670-KIT,260
APL-300-9103-KIT,0
APL-313-1014-KIT,0
SAM1914-KIT,0
MOT4322-KIT,260